,rev_ids,ratings
1127,704529680,Stub
1128,704529707,Stub
1129,704529774,Stub
1130,704529947,Stub
1131,704529983,Stub
1132,704530012,Stub
1133,704530050,Stub
1134,704530111,Stub
1135,704530148,Stub
1136,704530193,Stub
1137,704530253,Stub
1138,704569851,Start
1139,704575541,Stub
1140,704596904,Stub
1141,704597450,Start
1142,704600764,Stub
1143,704611447,Stub
1144,704636414,Stub
1145,704636517,C
1146,704651379,Start
1147,704668476,Stub
1148,704676106,Stub
1149,704689916,Stub
1150,704719275,Stub
1151,704744768,Stub
1152,704745155,Start
1153,704772645,Stub
1154,704779585,Stub
1155,704789339,Stub
1156,704816808,Start
1157,704830391,Stub
1158,704833506,Stub
1159,704859854,Start
1160,704860350,Stub
1161,704866062,Stub
1162,704875463,Start
1163,704888246,Stub
1164,704893591,Stub
1165,704897187,Stub
1166,704906631,Stub
1167,704909164,Stub
1168,704909244,Stub
1169,704909670,Stub
1170,704914179,Start
1171,704916318,Stub
1172,704916375,Stub
1173,704917703,Stub
1174,704919844,B
1175,704929287,Stub
1176,704933176,Stub
1177,704936337,Stub
1178,704938340,Start
1179,704954450,Stub
1180,704966834,C
1181,704971958,Stub
1182,704981447,Stub
1183,704981869,Stub
1184,704987150,Stub
1185,705001594,Stub
1186,705015595,Start
1187,705017090,Start
1188,705038435,Stub
1189,705046546,Start
1190,705047305,Stub
1191,705071250,Stub
1192,705080136,Start
1193,705088060,Stub
1194,705106158,Stub
1195,705111781,Stub
1196,705119502,Stub
1197,705122808,Start
1198,705167083,C
1199,705177330,Start
1200,705180584,Stub
1201,705200309,Stub
1202,705200468,Stub
1203,705202080,Stub
1204,705202157,Stub
1205,705204037,Stub
1206,705206510,Start
1207,705206616,Start
1208,705212313,Start
1209,705213504,Stub
1210,705218371,Start
1211,705222873,Stub
1212,705226005,Stub
1213,705228603,Start
1214,705236060,Stub
1215,705244503,Stub
1216,705247791,Stub
1217,705254033,Stub
1218,705264062,Start
1219,705267741,Stub
1220,705267817,Stub
1221,705267832,Stub
1222,705268153,Stub
1223,705268171,Start
1224,705268248,Start
1225,705268496,Stub
